127.0.0.1 - - [03/Aug/2020:07:25:32 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:39 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:39 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:40 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:40 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-role.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:40 +0800] "GET /atcrowdfunding02-admin-webui/css/pagination.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:40 +0800] "POST /atcrowdfunding02-admin-webui/role/get/page.json HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:41 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:45 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:47 +0800] "POST /atcrowdfunding02-admin-webui/admin/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:47 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 200 6968
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:51 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:25:52 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:39:47 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:39:51 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 7222
